Id,Rooms,Type,Price,Method,SellerG,Distance,Postcode,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Longtitude,Regionname,Propertycount
2250,2,0,860000,1,155,6.9,3039,1,1,301,80.0,1920,21,144.9092,6,6232
6263,2,0,1300000,0,16,10.4,3042,1,1,650,380.0,2016,-1,144.88805,6,2291
6139,3,0,696000,1,73,26.5,3138,1,2,886,120.0,1960,32,145.31266000000002,1,8280
5641,3,0,550000,3,152,14.0,3047,1,2,704,94.0,1950,11,144.90761,2,851
3632,3,0,840000,1,239,7.0,3013,1,1,470,127.0,1970,16,144.8904,6,6543
4648,2,2,562000,1,82,11.4,3204,1,1,0,88.0,1970,8,145.04772,5,3578
1393,4,0,1730000,1,106,5.8,3078,2,2,490,226.0,2007,6,145.0242,2,2970
5632,3,0,1910000,1,106,5.3,3122,2,2,242,165.0,1990,2,145.03937,5,11308
5684,3,0,510000,1,221,12.0,3073,2,2,292,119.0,1950,6,144.9871,2,21650
6665,3,0,1321188,3,255,10.1,3163,1,1,586,200.0,1945,-1,145.0725,5,4442
6597,3,0,850000,1,28,10.4,3042,1,2,551,96.0,1950,-1,144.88235,6,3464
4209,3,1,680000,3,221,13.0,3046,2,2,243,133.0,2014,23,144.9357,2,8870
2407,1,2,450000,3,106,2.3,3051,1,1,0,60.0,2012,18,144.9516,2,6821
1284,2,2,680000,3,46,7.7,3184,1,1,0,67.0,1930,25,144.9797,5,8989
5434,5,0,1260000,3,163,27.0,3196,6,3,900,178.0,1960,12,145.1216,4,2546
5345,3,0,635000,3,260,12.0,3073,2,2,289,147.0,2009,6,145.02101000000002,2,21650
4266,3,0,930000,3,23,9.2,3012,1,2,660,88.0,1955,16,144.8654,6,3873
1548,3,0,2115000,1,106,9.2,3146,2,2,745,157.0,1920,2,145.059,5,10412
1274,3,0,3572000,1,135,7.7,3184,2,6,737,207.0,1915,25,144.9831,5,8989
2113,3,1,1120000,0,106,11.2,3145,2,2,181,151.0,1990,26,145.0839,5,8801
1227,2,2,537000,1,23,8.5,3185,1,1,0,79.0,1970,8,145.0095,5,4898
1087,2,2,451000,1,192,7.8,3058,1,1,0,72.0,1970,23,144.954,2,11204
1205,4,0,1810000,1,106,13.9,3108,2,4,769,240.0,1970,15,145.1337,0,9028
6289,3,2,870000,3,106,4.3,3032,2,1,3215,178.0,1900,-1,144.92183,6,6567
6028,3,0,710000,1,196,14.5,3087,1,2,600,115.0,1974,0,145.08743,2,1442
2016,3,1,732000,1,155,5.6,3101,1,1,904,110.0,1980,2,145.0297,5,10331
5968,2,2,611000,1,253,14.2,3149,1,1,161,82.0,1970,20,145.11526,0,13366
1805,8,0,770000,4,146,10.5,3081,4,4,638,115.0,1960,0,145.048,0,2947
2758,3,0,1025000,1,260,11.2,3073,2,2,676,272.0,1950,6,145.0177,2,21650
1582,3,0,1500000,1,192,9.2,3146,1,3,401,107.0,1935,2,145.05100000000002,5,10412
1869,5,0,1730000,1,155,7.9,3079,2,2,689,292.0,2007,0,145.04,0,5549
4330,4,0,1840000,1,255,14.0,3166,2,2,598,222.0,1900,20,145.0928,5,3224
5483,2,2,640000,1,46,20.0,3194,1,1,128,72.0,1972,12,145.06313,4,6162
4491,2,0,1242000,1,155,2.5,3067,1,1,249,98.0,1940,31,144.9963,2,4019
1652,4,0,802500,1,155,13.6,3043,2,2,0,264.0,2005,23,144.9004,6,1071
2541,2,2,452000,1,260,9.9,3044,1,1,159,87.0,1990,23,144.9446,2,7485
6145,1,2,295000,0,227,10.1,3163,1,1,0,45.0,1970,8,145.07333,5,4442
3284,3,0,485000,1,260,13.5,3020,4,2,482,166.0,1955,3,144.8133,6,6763
5116,4,0,1920000,1,135,10.1,3163,1,2,718,181.0,1920,8,145.07271,5,4442
1640,3,0,670000,1,16,13.0,3046,1,3,705,135.0,1950,23,144.9116,2,8870
3162,1,2,385000,0,260,6.1,3182,1,1,0,53.0,2005,25,144.9741,5,13240
1658,4,0,740000,3,155,13.6,3043,2,2,453,213.0,2007,23,144.8974,6,1071
1972,2,2,410000,0,204,4.2,3031,1,1,0,86.0,2000,18,144.9228,2,5263
187,4,0,1480000,1,194,5.9,3032,2,2,597,180.0,1939,21,144.9088,6,6567
193,4,0,1430000,1,155,5.9,3032,2,0,418,158.0,1900,21,144.9187,6,6567
3976,4,0,931999,1,155,12.5,3041,3,2,528,192.0,1966,21,144.8987,6,389
6764,3,0,960000,0,16,11.7,3033,2,2,404,175.0,2009,-1,144.87734,6,5629
6031,3,0,452000,3,23,14.7,3030,1,3,567,121.0,1980,30,144.66149,6,16166
159,3,0,971000,3,155,5.9,3032,2,2,285,128.0,1900,21,144.9091,6,6567
5231,2,2,612500,1,196,27.0,3196,1,2,421,88.0,1975,12,145.11618,4,2546
6503,1,2,320000,1,106,4.0,3057,1,1,682,34.0,1980,-1,144.97686000000002,2,5533
1819,2,1,370000,4,146,9.4,3081,1,1,100,90.0,2013,0,145.036,0,2674
932,1,2,290000,1,196,11.4,3163,1,1,0,50.0,1960,8,145.0632,5,7822
4093,3,1,975000,4,202,11.7,3125,2,2,267,150.0,2012,28,145.1071,5,5678
5272,2,1,738000,1,146,8.9,3084,1,2,154,107.0,1985,0,145.06328,0,2890
4192,3,0,1800000,3,106,9.2,3146,1,3,732,138.0,1950,2,145.0864,5,10412
6137,3,0,650000,0,196,17.9,3082,2,1,661,141.0,1990,29,145.07209,2,10529
2279,1,2,292000,1,16,6.9,3039,1,1,0,45.0,1970,21,144.9237,6,6232
3392,2,0,1110000,3,16,6.5,3071,1,0,288,105.0,1925,6,144.9971,2,8870
776,2,2,385000,3,106,5.9,3055,1,1,0,62.0,1970,23,144.9421,2,7082
2550,3,1,790000,1,28,9.9,3044,3,1,291,175.0,2009,23,144.9261,2,7485
1611,2,2,250000,3,16,13.0,3046,1,1,0,61.0,1970,23,144.9178,2,8870
6410,4,0,1281000,1,32,22.2,3172,2,2,566,234.0,2000,-1,145.12389,4,3940
101,3,0,840000,3,85,13.8,3018,2,2,534,136.0,1965,10,144.8245,6,5301
4363,4,0,1075000,1,155,8.8,3072,1,2,521,146.0,1935,6,144.99,2,14577
6782,3,2,907800,1,161,17.2,3132,2,2,309,150.0,2005,-1,145.20261000000002,0,6871
4300,2,2,535000,0,73,12.1,3163,1,1,77,77.0,1970,8,145.0643,5,4442
6219,2,1,631000,1,28,6.7,3058,2,1,1965,103.0,2000,-1,144.97455,2,11204
1508,2,0,690500,3,204,6.4,3011,1,1,212,98.0,1900,16,144.8879,6,7570
2694,3,0,1150000,1,260,8.8,3072,1,2,566,143.0,1910,6,144.9934,2,14577
2324,4,0,940000,4,251,8.4,3015,2,1,379,172.0,1930,10,144.8893,6,5498
6651,4,0,2450000,0,106,5.4,3101,2,2,399,192.0,1920,-1,145.04294,5,10331
6332,2,0,865000,1,23,6.4,3012,1,2,327,131.0,1950,-1,144.88105,6,3873
2546,3,0,775000,1,28,9.9,3044,1,1,406,103.0,1960,23,144.9447,2,7485
3510,3,0,2910000,3,85,8.0,3016,3,2,515,286.0,1990,10,144.8947,6,6380
2188,1,2,659000,1,90,2.8,3000,1,1,0,59.0,2006,18,144.9727,2,17496
2923,2,0,905000,1,23,2.6,3121,1,0,139,54.0,1920,31,144.9937,2,14949
3565,3,0,602500,1,196,15.0,3085,2,2,586,140.0,1970,0,145.1017,2,1369
5932,2,2,656000,1,90,16.7,3150,1,1,345,120.0,2012,20,145.14856,0,15321
5820,2,2,541000,1,155,1.8,3051,1,1,0,53.0,2004,18,144.95657,2,6821
3746,3,1,1110000,1,106,7.5,3123,2,2,94,169.0,2005,2,145.0525,5,6482
562,3,0,495000,1,31,10.8,3019,1,1,158,138.0,2005,16,144.8465,6,3589
3381,1,2,517500,1,90,6.5,3071,1,0,0,53.0,1910,6,144.996,2,8870
4032,4,0,1292000,1,255,13.9,3165,1,2,587,161.0,1950,8,145.05700000000002,5,10969
5514,3,0,860000,1,90,23.5,3178,2,2,537,220.0,2001,13,145.24796,4,11667
2883,1,2,405000,0,140,2.6,3121,1,1,7455,53.0,2005,31,145.0104,2,14949
1576,4,0,2625000,0,135,9.2,3146,3,2,840,326.0,1930,2,145.0641,5,10412
5059,3,0,1300000,4,32,10.3,3187,1,2,684,77.0,1940,1,145.02524,5,6938
5882,5,0,800000,4,16,9.5,3034,2,3,577,166.0,1985,21,144.85631,6,4502
2951,3,0,1650000,1,260,2.6,3121,2,1,312,141.0,1920,31,145.007,2,14949
4153,4,0,1100000,0,16,13.9,3108,3,2,661,170.0,1965,15,145.1433,0,9028
4943,4,1,970000,1,155,7.5,3040,2,2,0,142.0,2003,21,144.89844,6,9264
2494,2,1,475000,0,16,11.5,3046,1,1,118,113.0,2010,23,144.9154,2,2651
4765,5,0,830000,3,193,20.4,3059,4,5,602,264.0,2001,11,144.89948,2,4864
5105,3,1,815000,1,68,4.3,3032,2,2,198,130.0,1990,16,144.88834,6,4918
762,1,2,300000,3,84,5.9,3055,1,0,0,37.0,1960,23,144.947,2,7082
4864,3,0,740000,1,90,15.3,3074,2,2,545,152.0,1983,29,144.99246000000002,2,7955
1089,5,0,1020000,0,194,7.8,3058,2,4,381,286.0,1985,23,144.969,2,11204
2489,4,0,920000,1,196,11.5,3046,2,2,780,179.0,1965,23,144.9171,2,2651
6692,4,0,910000,0,255,15.5,3106,2,2,520,170.0,1980,-1,145.11938999999998,0,6202
3531,2,2,547500,3,85,8.0,3016,1,1,0,60.0,1980,10,144.8971,6,6380
3086,1,2,540000,1,260,3.3,3141,1,1,480,53.0,1930,18,144.9767,5,14887
4305,5,0,1820000,3,222,8.4,3015,2,7,760,229.0,1935,10,144.865,6,5498
2327,3,0,1210000,3,251,8.4,3015,1,1,546,144.0,1920,10,144.892,6,5498
1206,5,0,1901000,1,155,10.3,3084,2,2,963,225.0,1925,0,145.0518,0,1651
2864,4,0,680000,1,196,11.2,3073,1,2,561,134.0,1960,6,144.9989,2,21650
3856,3,0,1090000,1,82,12.1,3163,2,2,553,138.0,1960,8,145.0668,5,4442
5129,3,2,800000,1,85,3.5,3207,1,2,0,80.0,2008,25,144.94415,5,8648
176,3,0,1425000,0,106,5.9,3032,2,2,495,139.0,1920,21,144.9055,6,6567
6228,4,1,1175000,1,16,14.3,3109,2,2,723,235.0,2009,-1,145.15372,0,10999
3329,4,0,2050000,4,106,11.2,3127,2,2,949,293.0,1910,2,145.0984,5,5457
6476,3,0,1009000,1,106,8.9,3084,2,2,663,136.0,1980,-1,145.0958,0,2698
4440,2,2,716000,1,127,6.5,3071,1,1,0,87.0,1995,6,144.982,2,8870
3298,3,0,520000,1,16,13.5,3020,1,2,691,170.0,1960,3,144.8138,6,6763
2540,2,0,386000,1,57,9.9,3044,1,1,111,67.0,1987,23,144.9349,2,7485
410,3,0,1293000,1,32,13.0,3204,1,1,632,108.0,1950,8,145.0367,5,6795
5134,3,0,1020000,4,155,8.4,3072,3,2,158,159.0,2008,6,144.98428,2,14577
4787,1,2,515000,1,135,5.4,3101,1,1,0,62.0,1900,2,145.03614,5,10331
3012,2,0,822500,3,23,6.6,3011,2,1,228,111.0,1930,16,144.8855,6,2417
1388,2,2,505000,0,155,5.8,3078,1,1,0,70.0,1970,6,145.0178,2,2970
4542,3,0,1042500,1,255,14.7,3167,1,4,658,146.0,1950,20,145.0839,4,3692
3458,4,0,1010000,1,146,13.8,3084,3,2,669,163.0,1960,0,145.083,0,2698
4651,4,0,780000,4,28,8.5,3044,2,3,555,128.0,1950,23,144.94336,2,7485
5086,2,2,700000,4,155,2.1,3065,1,1,470,65.0,2007,31,144.97686000000002,2,5825
4467,5,0,2040000,1,85,8.0,3016,3,2,531,288.0,1997,10,144.8781,6,6380
6637,2,2,452500,1,155,3.4,3031,1,1,807,54.0,1970,-1,144.93204,2,3593
1955,2,0,825000,1,204,4.2,3031,1,1,211,88.0,1915,18,144.9264,2,5263
865,3,0,1780000,1,73,7.8,3124,1,1,769,133.0,1930,2,145.0949,5,8920
5346,3,0,860000,1,155,12.0,3073,1,2,627,136.0,1950,6,144.99381,2,21650
2052,3,0,840000,1,155,9.2,3012,1,1,584,81.0,1900,16,144.8771,6,3873
5667,3,1,730000,1,251,6.2,3015,2,2,200,126.7,2005,10,144.88636,6,5498
1747,2,2,440000,3,106,4.6,3122,1,1,0,52.0,1970,2,145.0385,5,11308
3993,2,2,393000,3,23,9.8,3185,1,1,0,65.0,1970,8,145.0093,5,534
613,4,1,2250000,3,135,11.2,3186,2,2,230,281.0,2012,1,145.0056,5,10579
4446,2,1,960000,1,106,6.5,3071,2,2,158,133.0,2007,6,144.9881,2,8870
6729,3,0,1400000,0,106,10.1,3163,2,3,818,193.0,2011,-1,145.05132,5,7822
6684,3,0,897000,1,29,16.1,3088,2,2,684,150.0,1985,-1,145.12366,0,915
502,4,1,1325000,1,32,13.9,3165,4,2,363,265.0,2012,8,145.0686,5,10969
1834,2,0,1550000,1,255,13.0,3166,1,1,732,97.0,1950,20,145.0791,5,3145
3016,4,0,1455000,3,104,6.6,3011,2,3,571,198.0,1920,16,144.8865,6,2417
6056,4,0,456000,1,203,29.8,3338,2,2,576,189.0,2010,19,144.54532,7,3122
2497,3,0,770000,1,221,11.5,3046,2,2,382,173.0,1960,23,144.9165,2,2651
4087,3,2,860000,1,106,11.8,3105,1,1,0,110.0,1999,15,145.088,0,4480
3767,3,0,1320000,4,106,7.5,3123,2,1,213,162.0,1890,2,145.0542,5,6482
3176,3,1,1295000,1,207,6.1,3182,2,2,0,200.0,2000,25,144.9802,5,13240
3018,4,0,970000,4,104,6.6,3011,2,1,149,127.0,1920,16,144.8948,6,2417
4230,2,0,665000,1,106,10.5,3081,1,1,263,84.0,1992,0,145.0511,0,2947
5436,1,2,435000,1,252,7.2,3184,1,1,1192,44.0,2009,25,144.9841,5,8989
6555,4,0,986000,1,155,11.7,3033,1,2,615,176.0,1964,-1,144.86648,6,5629
4416,4,0,810000,0,155,9.7,3041,1,1,543,137.0,1960,21,144.9044,6,3284
5897,5,0,999000,1,196,12.1,3083,2,2,627,268.0,1991,0,145.0799,2,10175
4663,3,0,565000,1,20,14.0,3021,1,2,614,110.0,1975,3,144.78925,6,14042
5934,3,2,1000000,0,140,16.7,3150,2,2,365,124.0,1996,20,145.17031,0,15321
3532,3,0,1210000,1,251,8.0,3016,1,0,249,85.0,1910,10,144.895,6,6380
997,2,0,1225000,1,23,9.3,3162,1,2,284,99.0,1940,8,145.0215,5,5051
5314,3,0,900000,1,16,16.2,3094,1,1,575,138.0,1980,0,145.11987,0,3891
1050,3,0,947000,1,28,7.8,3058,1,1,372,125.0,1920,23,144.9581,2,11204
6026,3,1,630000,1,196,14.7,3152,1,2,169,141.0,2001,13,145.22973000000002,0,7082
4705,2,0,700000,0,155,5.2,3056,1,1,61,112.0,2007,23,144.96076000000002,2,11918
5646,3,2,570000,4,104,6.4,3012,1,1,118,86.0,1970,16,144.87682,6,1808
6119,4,0,2530000,4,146,7.8,3079,2,0,637,306.0,1936,0,145.04005,0,5549
1396,4,0,2000000,4,155,5.8,3078,3,2,575,280.0,2015,6,145.0176,2,2970
4670,3,0,420000,1,194,31.7,3429,1,2,466,101.0,1985,11,144.70553,6,14092
6732,2,2,790000,1,82,8.7,3162,1,1,919,82.0,2010,-1,145.03551000000002,5,5051
3304,3,0,500000,3,16,13.5,3020,1,2,627,109.0,1970,3,144.8227,6,6763
206,3,0,1305000,1,16,5.9,3032,1,1,278,166.0,1900,21,144.9223,6,6567
6385,4,1,1830000,1,260,27.0,3196,3,2,353,222.0,2004,-1,145.11766,4,2887
4055,5,0,1900000,0,94,10.7,3187,3,2,583,271.0,2009,1,145.0101,5,6938
1552,2,2,411000,3,161,9.2,3146,1,1,0,65.0,1970,26,145.0461,5,10412
5686,4,0,1200000,1,155,12.0,3073,2,2,499,260.0,1940,6,144.99892,2,21650
3313,3,0,1700000,4,73,11.2,3127,1,1,763,180.0,1930,2,145.0965,5,5457
825,3,0,1160000,1,85,11.7,3125,1,1,786,111.0,1950,28,145.1198,5,5678
6406,2,1,931000,1,43,2.0,3066,1,1,109,90.0,2001,-1,144.98492,2,4553
4854,2,0,2210000,1,40,2.7,3141,2,1,187,133.0,1890,18,144.97956000000002,5,14887
3000,3,0,1330000,1,222,6.6,3011,3,2,168,187.0,2012,16,144.887,6,2417
2353,3,1,770000,1,85,8.4,3015,2,2,224,132.0,2015,10,144.8653,6,5498
461,3,0,920000,0,32,13.9,3165,2,2,578,120.0,1950,8,145.0805,5,10969
1595,3,0,610000,1,196,13.0,3046,1,2,696,118.0,1960,23,144.9431,2,8870
2752,2,2,415000,0,196,11.2,3073,1,1,189,84.0,2012,6,145.0181,2,21650
594,4,0,3295888,1,94,11.2,3186,3,2,565,337.0,1990,1,144.9991,5,10579
2845,2,0,790000,1,16,11.2,3073,1,1,585,97.0,1950,6,144.9972,2,21650
6327,3,0,1535000,1,155,7.8,3079,2,1,697,128.0,1930,-1,145.06295,0,1554
6415,3,0,1150000,1,28,7.5,3040,1,2,658,183.0,1950,-1,144.89271000000002,6,9264
4841,4,1,2300000,1,94,15.2,3191,2,2,604,166.0,1940,1,145.01779,5,4497
5940,3,1,1405000,1,32,13.8,3188,2,2,220,139.0,2014,1,145.00093,5,5454
3596,3,0,1930000,1,104,7.0,3013,1,4,902,129.0,1920,16,144.8796,6,6543
543,4,0,1670000,1,135,13.1,3128,2,2,590,231.0,1924,28,145.1242,0,4605
1655,3,0,540000,4,28,13.6,3043,2,1,367,141.0,2008,23,144.8989,6,1071
469,4,0,1035000,0,72,13.9,3165,1,2,610,160.0,1950,8,145.0691,5,10969
1019,3,0,1000000,3,227,13.6,3148,1,2,630,105.0,1960,20,145.102,5,3582
2399,2,2,640000,1,132,2.3,3051,2,1,0,84.0,2006,18,144.9459,2,6821
3950,4,0,1180000,1,32,14.0,3166,1,2,604,183.0,1965,20,145.0886,5,3224
1750,2,2,655000,1,260,4.6,3122,1,1,0,78.0,1960,2,145.0364,5,11308
2154,3,0,1072000,1,23,8.7,3032,2,2,1396,175.0,1955,16,144.888,6,4918
1209,2,2,525000,1,146,10.3,3084,1,1,79,70.0,1970,0,145.0663,0,1651
4307,4,0,956000,1,222,8.4,3015,2,4,540,113.0,1970,10,144.8716,6,5498
4121,3,2,701000,0,196,13.6,3148,2,2,235,112.0,2000,20,145.0934,5,3582
966,3,1,808000,1,82,11.4,3163,1,1,111,116.0,1998,8,145.0495,5,7822
3177,2,2,481000,1,82,6.1,3182,1,1,0,61.0,1966,25,144.9889,5,13240
2628,1,2,456000,3,106,3.8,3207,1,1,0,63.0,2007,25,144.9385,5,8648
6052,2,2,615000,1,196,13.4,3130,1,1,3316,85.0,1970,28,145.14444,0,4387
4337,2,0,999000,1,155,9.9,3044,1,1,587,95.0,1920,23,144.9357,2,7485
5970,3,0,862000,1,253,18.8,3170,2,2,246,3.0,2002,20,145.19647,4,7113
5449,2,2,501000,1,106,7.3,3146,1,1,2015,77.0,1960,26,145.0465,5,10412
4504,2,0,1005000,1,260,10.9,3012,1,2,780,156.0,1950,10,144.8419,6,962
5445,3,0,810000,1,11,38.0,3199,1,2,835,118.0,1960,7,145.11351000000002,4,7566
6446,4,0,1335000,3,90,14.2,3149,1,3,731,145.0,1970,-1,145.11506,0,13366
4622,4,0,650000,0,257,14.0,3047,1,1,692,181.0,1960,11,144.91167,2,851
3515,3,0,1560000,3,85,8.0,3016,2,2,310,179.0,2005,10,144.9039,6,6380
1685,2,2,587000,1,196,13.7,3188,1,1,0,74.0,1975,1,145.0019,5,5454
5242,2,0,1980000,1,16,7.5,3040,1,6,856,105.0,1950,21,144.89557,6,9264
6318,3,0,2200000,1,135,7.3,3146,2,2,705,158.0,1935,-1,145.06886,5,10412
3486,3,0,702000,1,29,14.9,3087,1,1,604,97.0,1970,0,145.088,2,2329
3895,3,2,347000,3,104,8.2,3012,1,1,0,56.0,1965,16,144.8672,6,5058
1287,1,2,390000,4,260,7.7,3184,1,1,644,47.0,1960,25,144.994,5,8989
5651,3,1,710000,0,104,6.4,3012,2,2,186,134.6,2011,16,144.86483,6,3873
4959,4,0,780000,1,70,11.2,3046,1,3,697,133.0,1960,23,144.93948,2,8870
3715,3,0,526000,1,90,12.4,3060,1,1,404,101.0,1960,23,144.9678,2,5070
5052,3,0,1225000,3,32,13.8,3165,1,2,580,129.0,1950,8,145.08001000000002,5,10969
2200,2,2,733000,1,132,2.8,3000,2,1,0,94.0,1965,18,144.9635,2,17496
5331,3,0,1415000,3,166,21.5,3195,1,2,545,145.0,1950,12,145.07497,4,5087
4831,3,0,972500,1,155,8.4,3072,1,1,448,103.0,1930,6,145.00201,2,14577
5734,1,2,290000,0,85,10.5,3186,1,1,0,35.0,1960,1,144.9993,5,10579
5852,4,0,853000,1,16,15.5,3038,3,2,724,330.0,1990,3,144.7873,6,5336
2249,1,2,360000,3,28,6.9,3039,1,1,0,54.0,1965,21,144.9116,6,6232
4123,3,2,988000,2,32,13.6,3148,2,2,286,124.0,2008,20,145.0954,5,3582
5147,4,0,1450000,0,106,15.5,3106,2,2,883,300.0,2005,15,145.16233,0,6202
6427,3,0,1450000,4,135,5.3,3122,1,0,216,104.0,1890,-1,145.04043000000001,5,11308
1358,2,2,450000,3,28,8.0,3040,1,1,0,65.0,1970,21,144.915,6,9264
3466,3,0,920000,1,146,13.8,3084,2,2,834,143.0,1975,0,145.0884,0,2698
3285,4,0,510000,3,16,13.5,3020,1,1,672,151.0,1970,3,144.8083,6,6763
498,3,2,870000,1,255,13.9,3165,2,2,365,150.0,2011,8,145.0754,5,10969
4587,4,0,922000,3,144,6.7,3058,2,2,463,80.0,1960,23,144.97959,2,11204
938,3,2,1170000,1,255,11.4,3163,1,2,0,170.0,1925,8,145.0493,5,7822
1199,3,0,878000,1,16,13.9,3108,2,2,0,163.0,2001,15,145.1341,0,9028
3270,2,0,1190000,1,257,13.3,3020,1,6,968,141.0,1950,3,144.8362,6,4217
6364,2,0,1355000,1,135,1.9,3205,1,0,109,78.0,1900,-1,144.95243,5,5943
4360,3,0,1121000,1,16,8.8,3072,2,3,604,123.0,1925,6,144.9971,2,14577
2897,2,2,1040000,1,106,2.6,3121,2,2,0,95.0,2013,31,145.005,2,14949
1850,3,1,900000,1,32,13.0,3166,2,1,360,154.0,1975,20,145.0779,5,3145
6383,4,0,1850000,4,161,13.4,3130,2,2,628,287.0,2012,-1,145.16714,0,5713
4812,4,0,1337000,1,16,10.4,3042,2,2,650,254.0,1955,21,144.88496,6,2291
643,5,0,2550000,1,32,10.7,3187,3,2,915,233.0,1960,1,145.0104,5,6938
2997,3,0,970000,1,104,6.6,3011,1,0,137,98.0,1890,16,144.8972,6,2417
4107,5,0,8000000,4,219,9.0,3126,5,4,2079,464.3,1880,2,145.0694,5,3265
1068,4,0,865000,1,28,7.8,3058,1,1,452,125.0,1925,23,144.94799999999998,2,11204
3424,1,2,303500,3,255,6.5,3071,1,1,0,41.0,1970,6,145.01,2,8870
1013,2,0,1002000,1,196,13.6,3148,1,1,585,97.0,1950,20,145.0948,5,3582
524,4,0,1560000,0,106,13.1,3128,2,3,729,167.0,1905,28,145.1267,0,4605
434,2,2,746000,1,260,13.9,3165,1,2,281,95.0,2002,8,145.0796,5,10969
4550,3,2,840000,1,260,4.6,3142,1,1,1678,94.0,1940,26,145.0178,5,7217
1813,2,0,920000,1,16,10.5,3081,1,3,932,97.0,1950,0,145.0588,0,2947
